nama_lomba,bidang_utama,kategori,tema,jumlah_peserta,hadiah,start_date,deadline_date,penyelenggara
GAGASAN MEDIS MANADO 2024,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1895,29000000,,2024-04-17,KEMENTERIAN KESEHATAN RI
national hackathon 2025   ,Tech & IT,Data Science,Data Privacy,3258,43000000,2025-10-27,2025-12-23,PT Telkom Indonesia
KOMPETISI STARTUP FEST PEKANBARU,Bisnis & Ekonomi,Marketing,Green Economy,597,45000000,,2025-12-23,Penyelenggara Independen
National Medical Hackathon 2024,Kesehatan,Teknologi Medis,Inovasi Alat Medis,839,5000000,,2025-12-23,KEMENTERIAN KESEHATAN RI
TECH CHALLENGE PEKANBARU 2024,Tech & IT,AI/Machine Learning,Smart City,2688,40000000,,2024-07-03,PT Telkom Indonesia
Startup Fest Pekanbaru 2025,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,3817,25000000,,2025-07-24,kementerian koperasi dan ukm   
Medical Hackathon Bali 2025,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,1804,44000000,,2025-07-24,WHO Indonesia
Kompetisi Health Challenge Jakarta,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,3202,37000000,,2024-08-09,Ikatan Dokter Indonesia
Preneur Olympiad Padang 2026,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,2841,35000000,,2026-05-20,BCA
national health challenge 2024   ,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,275,43000000,,2024-04-13,WHO Indonesia
national impact fest 2026   ,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,879,29000000,,2026-11-19,Kitabisa
National Aksi Baik 2025,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,3773,31000000,,2025-10-13,Kementerian Sosial
VENTURE CHALLENGE MALANG 2026,Bisnis & Ekonomi,Marketing,Green Economy,2090,26000000,,2026-03-26,bca   
Festival Pitching Summit Makassar,Lainnya,Fintech,Strategi Pemasaran Gen Z,191,17000000,,2025-08-25,Bursa Efek Indonesia
National Aksi Baik 2025,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,921,11000000,,2025-05-23,UNICEF Indonesia
GELAR IMPACT FEST DENPASAR,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,3562,24000000,,2026-02-12,Kementerian Sosial
Festival Ideathon Denpasar,Tech & IT,AI/Machine Learning,Data Privacy,2608,12000000,2025-01-27,2025-02-14,Penyelenggara Independen
National Ideathon 2026,Tech & IT,Umum - Tech & IT,Data Privacy,-1451,48000000,2026-07-26,2026-09-13,Google Developer Group
National Tech Challenge 2026,Tech & IT,UI/UX Design,Aplikasi Layanan Publik,2702,34000000,,2026-07-16,PT TELKOM INDONESIA
NATIONAL HACKATHON 2026,Tech & IT,AI/Machine Learning,Blockchain for Good,1035,46000000,,2026-05-25,google developer group   
National Gagasan Medis 2025,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,3296,20000000,,2025-07-08,who indonesia   
National Pitching Summit 2024,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,2142,44000000,,2025-07-08,Kementerian Koperasi dan UKM
Kompetisi Eco Summit Bandung,Sosial & Lingkungan,Lingkungan Hidup,Umum - Sosial & Lingkungan,2236,30000000,,2024-07-09,Kementerian Sosial
Med Inno Manado 2026,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,3505,42000000,,2024-07-09,Kementerian Kesehatan RI
National Startup Fest 2025,Bisnis & Ekonomi,Pengembangan UMKM,Green Economy,3539,5000000,,2024-07-09,Kementerian Koperasi dan UKM
NATIONAL BUSINESS CASE 2026,Bisnis & Ekonomi,Kewirausahaan,Umum - Bisnis & Ekonomi,2090,23000000,,2026-11-02,Inkubator Bisnis Univ
National Gagasan Medis 2026,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,1092,12000000,2026-01-28,2026-03-08,WHO Indonesia
national eco summit 2025   ,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,2621,27000000,,2025-10-02,yayasan ruangguru   
Festival Gagasan Medis Yogyakarta,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1804,48000000,,2026-09-30,ikatan dokter indonesia   
Kompetisi Aksi Sehat Bengkulu,Kesehatan,Teknologi Medis,Inovasi Alat Medis,389,8000000,,2025-08-14,Yayasan Peduli Sehat
Aksi Baik Makassar 2024,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,3749,46000000,,2024-10-09,Kementerian Sosial
National Preneur Olympiad 2025,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,-1272,47000000,,2025-06-28,bank indonesia   
Festival Preneur Olympiad Nasional,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,2090,37000000,,2025-12-10,Penyelenggara Independen
National Ideathon 2025,Tech & IT,AI/Machine Learning,Blockchain for Good,821,6000000,2025-06-09,2025-09-05,PT Telkom Indonesia
Ideathon Balikpapan 2024,Tech & IT,Cyber Security,Smart City,3932,38000000,,2024-07-07,Penyelenggara Independen
National Medical Hackathon 2024,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,3042,6000000,,2024-08-04,ikatan dokter indonesia   
National DevFest 2026,Tech & IT,UI/UX Design,Smart City,3170,29000000,,2024-08-04,AWS INDONESIA
Festival Medical Hackathon Bengkulu,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,3559,48000000,,2026-05-03,WHO Indonesia
Pitching Summit Palembang 2025,Bisnis & Ekonomi,Marketing,Green Economy,2105,12000000,,2026-01-10,Penyelenggara Independen
Med Inno Surabaya 2024,Kesehatan,Teknologi Medis,Inovasi Alat Medis,3151,7000000,,2024-08-06,Ikatan Dokter Indonesia
National Tech Challenge 2025,Tech & IT,AI/Machine Learning,Blockchain for Good,1626,9000000,2025-04-01,2025-06-20,Penyelenggara Independen
NATIONAL AKSI SEHAT 2024,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,3201,45000000,,2024-05-19,who indonesia   
Festival Preneur Olympiad Padang,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,1836,13000000,,2024-10-24,BANK INDONESIA
Festival Medical Hackathon Denpasar,Kesehatan,Teknologi Medis,Telemedicine Inklusif,3776,11000000,,2026-12-12,Ikatan Dokter Indonesia
PITCHING SUMMIT BANDUNG 2025,Bisnis & Ekonomi,Marketing,Strategi Pemasaran Gen Z,2426,13000000,,2025-05-02,bursa efek indonesia   
Festival Hackathon Bengkulu,Tech & IT,Cyber Security,Blockchain for Good,2683,29000000,,2025-08-23,Google Developer Group
Pitching Summit Jakarta 2024,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Strategi Pemasaran Gen Z,3519,29000000,,2024-03-01,Kementerian Koperasi dan UKM
Festival Aksi Baik Medan,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,3465,29000000,,2024-06-04,UNICEF Indonesia
Venture Challenge Pekanbaru 2025,Bisnis & Ekonomi,Marketing,Green Economy,63,45000000,,2025-03-04,Inkubator Bisnis Univ
kompetisi medical hackathon jakarta   ,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,1804,29000000,,2025-03-04,Kementerian Kesehatan RI
FESTIVAL AKSI BAIK SEMARANG,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Aksi Tanggap Bencana,1067,27000000,,2024-05-07,Penyelenggara Independen
Tech Challenge Pekanbaru 2026,Tech & IT,Data Science,Aplikasi Layanan Publik,417,31000000,,2026-10-21,Tech Community
Kompetisi Med Inno Surabaya,Kesehatan,Kesehatan Mental,Pencegahan Stunting,1804,34000000,,2026-08-13,WHO Indonesia
Kompetisi Relawan Challenge Batam,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,-630,36000000,,2026-05-25,WWF Indonesia
Tech Challenge Surabaya 2025,Tech & IT,Cyber Security,Data Privacy,-147,24000000,,2025-09-17,PT Telkom Indonesia
Tech Challenge Medan 2026,Tech & IT,AI/Machine Learning,Data Privacy,2746,14000000,,2026-08-02,PT Telkom Indonesia
National Health Challenge 2024,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,-3114,27000000,,2024-06-30,Ikatan Dokter Indonesia
gelar aksi sehat surabaya   ,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,1804,6000000,,2026-06-21,Kementerian Kesehatan RI
Gelar Venture Challenge Bengkulu,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,1572,49000000,2025-06-24,2025-09-16,BCA
Kompetisi Eco Summit Denpasar,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,3211,38000000,,2026-07-27,UNICEF Indonesia
National DevFest 2025,Tech & IT,Software Development,Blockchain for Good,2590,40000000,,2025-04-13,Tech Community
Gagasan Medis Balikpapan 2024,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,3804,29000000,,2024-10-11,WHO Indonesia
National Gagasan Medis 2025,Kesehatan,Teknologi Medis,Pencegahan Stunting,67,18000000,,2024-10-11,Kementerian Kesehatan RI
Medical Hackathon Makassar 2026,Kesehatan,Umum - Kesehatan,Inovasi Alat Medis,-1628,29000000,,2026-10-23,WHO Indonesia
National DevFest 2026,Tech & IT,Data Science,Blockchain for Good,419,31000000,,2026-10-05,GOOGLE DEVELOPER GROUP
Gelar Pitching Summit Malang,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,386,43000000,,2026-10-05,BANK INDONESIA
National Eco Summit 2025,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,2789,44000000,,2025-10-07,Yayasan Ruangguru
RELAWAN CHALLENGE BENGKULU 2025,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,2963,18000000,,2025-07-10,KITABISA
KOMPETISI AKSI BAIK BENGKULU,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,2807,29000000,,2025-10-20,WWF Indonesia
Hackathon Palembang 2026,Tech & IT,Software Development,Data Privacy,2628,30000000,,2026-01-29,PT Telkom Indonesia
Med Inno Bandung 2024,Kesehatan,Teknologi Medis,Inovasi Alat Medis,2178,48000000,,2024-01-29,Penyelenggara Independen
Med Inno Samarinda 2024,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,1804,21000000,,2024-07-22,Kementerian Kesehatan RI
Gelar Preneur Olympiad Malang,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Keuangan Inklusif,3310,43000000,2024-07-22,2024-08-30,Bursa Efek Indonesia
Festival Impact Fest Makassar,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,139,44000000,,2026-06-29,Penyelenggara Independen
gelar aksi sehat balikpapan   ,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,3076,46000000,,2025-08-07,WHO INDONESIA
Med Inno Yogyakarta 2025,Kesehatan,Umum - Kesehatan,Telemedicine Inklusif,-1801,33000000,,2025-04-24,WHO Indonesia
Kompetisi Tech Challenge Denpasar,Tech & IT,UI/UX Design,Umum - Tech & IT,2731,44000000,2024-01-23,2025-04-24,AWS Indonesia
Gelar Business Case Yogyakarta,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Strategi Pemasaran Gen Z,957,41000000,,2025-04-24,Bursa Efek Indonesia
Sociopreneur Pekanbaru 2024,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,1494,33000000,,2024-03-18,Penyelenggara Independen
Gagasan Medis Medan 2025,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,427,26000000,,2025-06-25,Yayasan Peduli Sehat
Festival Business Case Pekanbaru,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Keuangan Inklusif,3343,22000000,,2026-07-25,Kementerian Koperasi dan UKM
Gelar Med Inno Surabaya,Kesehatan,Kesehatan Mental,Pencegahan Stunting,-691,32000000,,2026-09-28,WHO Indonesia
Relawan Challenge Padang 2026,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,3618,15000000,,2026-10-29,Kementerian Sosial
Gagasan Medis Nasional 2026,Kesehatan,Teknologi Medis,Umum - Kesehatan,719,23000000,,2026-05-30,Kementerian Kesehatan RI
MED INNO PEKANBARU 2024,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,1804,33000000,,2024-11-07,WHO Indonesia
NATIONAL HEALTH CHALLENGE 2026,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,1804,9000000,,2026-11-15,who indonesia   
Eco Summit Denpasar 2025,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,2375,49000000,,2025-11-02,UNICEF Indonesia
National Venture Challenge 2025,Bisnis & Ekonomi,Fintech,Umum - Bisnis & Ekonomi,291,27000000,,2025-09-24,BANK INDONESIA
National Health Challenge 2025,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,3848,27000000,,2025-03-09,IKATAN DOKTER INDONESIA
GELAR MEDICAL HACKATHON PADANG,Kesehatan,Kesehatan Masyarakat,Umum - Kesehatan,1804,40000000,,2024-02-19,yayasan peduli sehat   
NATIONAL HACKATHON 2024,Tech & IT,Umum - Tech & IT,Aplikasi Layanan Publik,2703,9000000,,2024-11-23,kementerian kominfo   
National Venture Challenge 2025,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,1895,28000000,,2025-11-14,Inkubator Bisnis Univ
FESTIVAL MEDICAL HACKATHON PALEMBANG,Kesehatan,Kesehatan Mental,Pencegahan Stunting,105,39000000,,2025-05-15,KEMENTERIAN KESEHATAN RI
Kompetisi Aksi Sehat Manado,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1870,33000000,,2025-05-15,Yayasan Peduli Sehat
National Startup Fest 2026,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,182,11000000,,2026-04-27,Bursa Efek Indonesia
FESTIVAL MEDICAL HACKATHON PALEMBANG,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1804,29000000,,2024-09-08,Penyelenggara Independen
GELAR TECH CHALLENGE DENPASAR,Tech & IT,Data Science,Aplikasi Layanan Publik,-3759,22000000,,2024-11-28,Kementerian Kominfo
Gelar Preneur Olympiad Jakarta,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,1521,45000000,,2025-10-07,bank indonesia   
National Impact Fest 2025,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,897,12000000,,2025-09-05,kitabisa   
National Preneur Olympiad 2026,Bisnis & Ekonomi,Fintech,Umum - Bisnis & Ekonomi,3941,15000000,,2025-09-05,Inkubator Bisnis Univ
PITCHING SUMMIT MAKASSAR 2024,Bisnis & Ekonomi,Fintech,Green Economy,2281,20000000,,2024-10-13,INKUBATOR BISNIS UNIV
NATIONAL MED INNO 2026,Kesehatan,Umum - Kesehatan,Umum - Kesehatan,1798,46000000,,2024-10-13,Kementerian Kesehatan RI
Datathon Pontianak 2025,Tech & IT,AI/Machine Learning,Aplikasi Layanan Publik,3270,11000000,,2025-09-06,Tech Community
National CodeFest 2026,Tech & IT,Software Development,Blockchain for Good,3773,36000000,,2026-04-13,Tech Community
National Gagasan Medis 2026,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,1725,36000000,,2026-11-16,Ikatan Dokter Indonesia
Health Challenge Batam 2024,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,3032,29000000,,2024-06-17,Ikatan Dokter Indonesia
Tech Challenge Bali 2025,Tech & IT,Data Science,Data Privacy,1561,39000000,2025-03-18,2025-04-25,AWS Indonesia
Aksi Baik Bali 2025,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Pengurangan Sampah Plastik,1877,37000000,,2025-08-02,WWF INDONESIA
National Datathon 2025,Tech & IT,UI/UX Design,Blockchain for Good,3307,23000000,,2025-05-23,tech community   
Gelar Venture Challenge Malang,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,2215,46000000,,2025-08-04,Inkubator Bisnis Univ
Business Case Yogyakarta 2024,Bisnis & Ekonomi,Fintech,Green Economy,2090,24000000,,2024-10-20,Kementerian Koperasi dan UKM
Festival Gagasan Medis Denpasar,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,-1995,29000000,,2025-05-07,Ikatan Dokter Indonesia
Kompetisi CodeFest Samarinda,Tech & IT,Cyber Security,Smart City,1626,29000000,,2026-08-02,Kementerian Kominfo
National Gagasan Medis 2026,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,236,23000000,,2026-03-27,WHO Indonesia
Pitching Summit Pekanbaru 2024,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,454,12000000,,2024-04-19,INKUBATOR BISNIS UNIV
national preneur olympiad 2026   ,Bisnis & Ekonomi,Fintech,Ekonomi Sirkular,551,12000000,,2024-04-19,BCA
Festival Ideathon Balikpapan,Tech & IT,AI/Machine Learning,Blockchain for Good,550,35000000,,2025-03-27,Penyelenggara Independen
Business Case Nasional 2024,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,2090,27000000,,2024-05-09,bank indonesia   
Gelar Sociopreneur Samarinda,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,3805,9000000,,2026-11-20,Kementerian Sosial
Kompetisi Eco Summit Bali,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,1372,27000000,,2024-08-07,UNICEF Indonesia
impact fest malang 2026   ,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,1921,9000000,,2024-08-07,Yayasan Ruangguru
national tech challenge 2026   ,Tech & IT,Software Development,Data Privacy,68,16000000,,2026-06-17,KEMENTERIAN KOMINFO
Impact Fest Medan 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,2619,36000000,2026-02-27,2026-04-25,Kementerian Sosial
Kompetisi Venture Challenge Batam,Bisnis & Ekonomi,Business Plan,Green Economy,-1800,9000000,,2026-10-27,BANK INDONESIA
Venture Challenge Denpasar 2025,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,-1446,5000000,,2025-08-28,Bank Indonesia
NATIONAL PITCHING SUMMIT 2026,Lainnya,Pengembangan UMKM,Keuangan Inklusif,3268,31000000,,2026-04-17,Inkubator Bisnis Univ
National CodeFest 2025,Tech & IT,Umum - Tech & IT,Blockchain for Good,858,36000000,,2025-05-08,tech community   
National Med Inno 2024,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,333,39000000,,2024-06-27,WHO Indonesia
national aksi sehat 2024   ,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,1804,44000000,,2024-04-25,Ikatan Dokter Indonesia
aksi sehat balikpapan 2024   ,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1970,49000000,,2024-07-07,Kementerian Kesehatan RI
Med Inno Palembang 2026,Kesehatan,Teknologi Medis,Inovasi Alat Medis,1804,15000000,,2026-07-09,Ikatan Dokter Indonesia
festival medical hackathon samarinda   ,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,3503,13000000,,2025-08-25,Yayasan Peduli Sehat
National Ideathon 2026,Tech & IT,Data Science,Generative AI,3448,29000000,,2026-05-02,Penyelenggara Independen
kompetisi devfest surabaya   ,Tech & IT,UI/UX Design,Smart City,623,29000000,2024-03-04,2024-05-09,GOOGLE DEVELOPER GROUP
Gelar Tech Challenge Bengkulu,Tech & IT,Data Science,Smart City,3741,32000000,,2026-11-01,google developer group   
National Aksi Sehat 2025,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,227,17000000,,2025-05-10,Ikatan Dokter Indonesia
Festival Aksi Sehat Makassar,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,3332,32000000,,2024-09-05,WHO Indonesia
DevFest Yogyakarta 2026,Tech & IT,Umum - Tech & IT,Generative AI,-2220,6000000,,2026-09-10,Kementerian Kominfo
National CodeFest 2024,Tech & IT,AI/Machine Learning,Generative AI,3629,29000000,2024-02-12,2024-03-23,Tech Community
Kompetisi Eco Summit Bandung,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,2236,30000000,,2024-07-09,KEMENTERIAN SOSIAL
National Relawan Challenge 2026,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,3043,49000000,2026-07-21,2026-09-28,Kementerian Sosial
Startup Fest Malang 2024,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Keuangan Inklusif,-811,43000000,,2024-11-04,bursa efek indonesia   
Festival Impact Fest Jakarta,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Umum - Sosial & Lingkungan,3006,22000000,,2025-08-17,UNICEF Indonesia
Venture Challenge Padang 2024,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,2446,13000000,,2024-11-01,Bank Indonesia
National Hackathon 2026,Tech & IT,Cyber Security,Generative AI,3776,5000000,,2024-11-01,google developer group   
Venture Challenge Pontianak 2025,Bisnis & Ekonomi,Business Plan,Digitalisasi UMKM,1310,18000000,,2025-11-22,Bank Indonesia
Tech Challenge Makassar 2026,Tech & IT,AI/Machine Learning,Umum - Tech & IT,1526,18000000,,2026-05-10,Google Developer Group
Festival Eco Summit Nasional,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,1277,25000000,,2024-06-09,Kitabisa
National Startup Fest 2026,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,1995,37000000,,2026-03-19,Bank Indonesia
National Health Challenge 2024,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1817,9000000,,2024-09-24,Kementerian Kesehatan RI
National Eco Summit 2024,Sosial & Lingkungan,Pendidikan,Umum - Sosial & Lingkungan,3041,35000000,,2024-03-17,Kementerian Sosial
National Health Challenge 2025,Kesehatan,Teknologi Medis,Pencegahan Stunting,3150,29000000,,2025-05-25,Kementerian Kesehatan RI
FESTIVAL HEALTH CHALLENGE SEMARANG,Kesehatan,Teknologi Medis,Telemedicine Inklusif,1184,5000000,,2025-03-17,Ikatan Dokter Indonesia
Festival Tech Challenge Semarang,Tech & IT,Software Development,Generative AI,487,50000000,,2025-03-17,tech community   
Gelar Business Case Semarang,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,1941,29000000,,2025-11-19,bank indonesia   
kompetisi aksi sehat bengkulu   ,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1224,32000000,,2026-05-03,KEMENTERIAN KESEHATAN RI
National Eco Summit 2026,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,3445,29000000,2026-03-03,2026-04-07,kementerian sosial   
Festival Pitching Summit Yogyakarta,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Ekonomi Sirkular,3213,18000000,,2026-08-30,bursa efek indonesia   
national business case 2025   ,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Green Economy,2440,5000000,,2025-07-03,Bursa Efek Indonesia
gelar preneur olympiad bandung   ,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,3113,29000000,,2025-07-03,BCA
GAGASAN MEDIS BENGKULU 2025,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,385,21000000,,2025-07-04,YAYASAN PEDULI SEHAT
national med inno 2025   ,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,-3698,13000000,2025-07-26,2025-07-04,WHO Indonesia
National Relawan Challenge 2024,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Aksi Tanggap Bencana,1921,30000000,,2024-09-02,Yayasan Ruangguru
National Med Inno 2026,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,3740,37000000,2026-09-12,2026-12-06,ikatan dokter indonesia   
National Aksi Baik 2024,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Energi Terbarukan,3625,15000000,,2024-08-13,Kementerian Sosial
Eco Summit Bandung 2024,Sosial & Lingkungan,Kemanusiaan,Umum - Sosial & Lingkungan,1209,9000000,,2024-11-17,WWF Indonesia
med inno samarinda 2026   ,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,3857,16000000,,2026-04-06,Penyelenggara Independen
relawan challenge malang 2026   ,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,-2500,49000000,,2026-09-07,YAYASAN RUANGGURU
Kompetisi Tech Challenge Denpasar,Tech & IT,Software Development,Smart City,156,8000000,,2025-05-22,AWS Indonesia
Kompetisi Impact Fest Semarang,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,2570,30000000,,2026-10-29,Kitabisa
festival med inno pontianak   ,Kesehatan,Kesehatan Masyarakat,Umum - Kesehatan,3325,13000000,,2026-03-12,Ikatan Dokter Indonesia
national preneur olympiad 2025   ,Bisnis & Ekonomi,Fintech,Green Economy,984,33000000,,2025-04-24,Bursa Efek Indonesia
Business Case Jakarta 2024,Bisnis & Ekonomi,Business Plan,Green Economy,2763,34000000,2024-01-29,2024-02-15,Kementerian Koperasi dan UKM
Gelar Startup Fest Bali,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,3225,44000000,,2025-04-12,Bank Indonesia
national devfest 2025   ,Tech & IT,Umum - Tech & IT,Aplikasi Layanan Publik,3170,7000000,,2026-01-03,AWS Indonesia
